Id,Question,Essay,ta,cc,lr,gr,Overall
11,"Many people in poor countries die from diseases that are curable because they cannot
afford the medication required.
Do you believe that drug companies should make their products available at reduced prices
in these countries?","Many people in poor countries die from diseases that are curable because they can’t afford the
medication required. I think that this is not good situation. There are many countries with people
with no money and people die. They have the drug companies and the medications but the price is
too big for the poor people. In rich countries there is money and people live for long time. This is
not fair and good for the people. I think that rich countries should give medicines and money to the
poor countries and that then they will not die young and they can live for long time like us.
Many sickness is not in rich countries because of medicines and hospitals. We can build hospitals
with medicines in poor countries so that poor countries can be stopped the sickness. Example of
this is Bill Gates. Bill Gates gives much money and medicines to poor countries. Bill Gates is very
rich. If all rich people give money and medicines like Bill Gates then people in poor countries are
not die from diseases that are curable because they can’t afford the medication. Another big
problem for undeveloped worlds countries is water. Everyone needs to walk a long time for water.
Maybe water comes from lakes and rivers and there is pollution there. Many people are dying from
diseases through bad water. We all need give money and help undeveloped countries people have
clean water and water not very far from home. Clean water and money all help people not die. Also
water makes food with farmers and food stops sickness too maybe.",5,5,5,5,5
12,"Many people in poor countries die from diseases that are curable because they cannot
afford the medication required.
Do you believe that drug companies should make their products available at reduced prices
in these countries?","There are many deaths in poor countries from diseases that rich countries can cure with expensive
medicines. Some people think that this is unfair and the medicines should be give to the poor

countries for a reduced price. I agree with this statement but also think that the responsibility is not
only drug companies.
Nowadays drug companies make a very big money with medicine for treating diseases. The
medicines are very expensive and in rich countries the government or health insurance pays these
medicines. However, in poor countries the government and people do not have the money to pay
for these medicines. I think that the drug companies should give medicines at a reduced price. HIV
and AIDS is a big problem in some African countries and drugs companies recently made
medication much cheaper. Because they made medication cheaper lots of people now do not die.
However, I think that it is not only a problem for drug companies. I think rich people and countries
should give money for poor countries so they can spend money on health.
In conclusion I believe that everyone needs a good health and people should have good health if
they poor or rich. It is not good to only have medicines for rich people and poor people are dying.
This is a big problem in some parts of the world and drug companies is bad to take all of the
money to make sick people health. Everybody needs medicine and poor people can have medicine
at a cheaper price then this is a good thing.",6,6,6,6,6
13,"Many people in poor countries die from diseases that are curable because they cannot
afford the medication required.
Do you believe that drug companies should make their products available at reduced prices
in these countries?","Nowadays improvements in medicine means we can treat many diseases that in the past people
used to die. However, some of these medicines are expensive. Some people think that drugs
companies should sell these medicines to poor countries cheaply. I would agree with this and also
think there are other people who should help poor people.
Drug companies make a lot of profit through selling medicine to treat diseases and sick people. In
rich countries people and the government health care organisations can buy medicine and less
people are dying from diseases but in poor countries people do not access these medicines
because of the high cost. An example of this is HIV and AIDS. This is a big problem in some
African countries and recently drug companies sold medicine for much lower prices to these
countries so that less people die. I believe this is a good thing.
However, it is not just drug companies that should help poor people who are sick. Rich people and
governments should also help. For example Bill Gates recently spent a lot of money to help poor
people have access to medicine and treatments for their sickness. I think that all rich people should
be encouraged to do this and governments should also help.
In conclusion, I think that we have the resource so that we can help poor countries who’s people
die from diseases. Drugs companies should have lower prices for poor countries and not make so
much money from sick people. Rich people and governments should also help with charity.",7,7,7,7,7
14,"Many people in poor countries die from diseases that are curable because they cannot
afford the medication required.
Do you believe that drug companies should make their products available at reduced prices
in these countries?","The high cost of modern drug treatment means people in poorer countries are frequently unable to
benefit from it. I would argue that drug companies have a moral obligation to make their products
available at lower cost to developing countries and, what’s more, that rich governments and people
can help.
Over the last few decades there was a dramatic improvement in medicine that changed the
treatment of many life threatening diseases. Drug companies make money by treatment these
diseases. However, the fact that people in poor countries are unable to pay for these treatments
has created a very unequal situation.
I think that drug companies have a responsibility to be more ethical and that they have a
responsibility for addressing this inequality. They can do this by offering cheaper medicines in
countries that cannot afford to pay the full price. This means that everyone can get the drugs that
they need.
However, I also believe that there are others who have a role to play in giving poor people access
to drugs. For example, rich people could be encouraged to donate to charities to help developing
countries. An example of this was seen recently when Bill Gates spent a lot of money and set up
immunising projects in Africa.
In conclusion I would argue that it is immoral for people to die because of inequality, Access to
medicine should be universal and it is should be the responsibility of the richer companies,
individuals and governments to ensure that this is happening.",8,8,8,8,8
15,"Many people in poor countries die from diseases that are curable because they cannot
afford the medication required.
Do you believe that drug companies should make their products available at reduced prices
in these countries?","The high cost of modern pharmaceuticals means people in poorer countries are unable to benefit
from them. I would argue that drug companies have a moral obligation to make their products
available to these people and that there are other agencies that can help.

Over the last few decades there has been a dramatic improvement in medicine that has radically
changed the treatment of many life threatening diseases. While drug companies profit from treating
these diseases, the fact that people in poor countries are unable to pay for these treatments has
created an unacceptable degree of inequality in global access to health care.
I would argue that drug companies have a responsibility to be more ethical and to address this
inequality by offering cheaper generic versions of their medicines in countries that cannot afford to
pay the full price. This has recently been implemented with the treatment of HIV and AIDS in some
African countries, saving the lives of millions of people.
However, I also believe that there are others who have a role to play in giving poor people access
to drugs. For example, rich people could be encouraged to donate to charities to help developing
countries. An example of this was seen recently when Bill Gates spent vast sums of money to set
up immunisation projects in Africa. In addition to wealthy individuals, governments could also
donate aid and medical supplies.
In conclusion I would argue that it is immoral for people to be dying as a result of inequality. The
value of human life should be universal and it should be the responsibility of the richer companies,
individuals and governments to ensure that access to encompasses everyone.",9,9,9,9,9
16,"Money spent on space exploration is a complete waste. Governments could better spend
this money on other things to benefit the nation.
To what extent do you agree or disagree?","With all the troubles in the world today, money spent on space exploration is a complete waste.
The money could be better spent on other things. I am disagree with this statement. I think space
exploration is good thing. there is many informations in space exploration and people should be
interest in space. Maybe in the future there will be find new planets and maybe with water. I read in
recently the newspaper there maybe new planet with water and it is not so far away as we can’t
maybe travel there in future spaceship. This is very excited because maybe there is life on water
planets. Also in the future maybe on our planet in the future there will be not good for living maybe
because of global warming there will be too much seas and ocerans but not water for drinking. If
we find a new planet maybe humans will live on the new planet but will need water planet for life.
On the other hand there arre some people who say that the money could be better spent on other
things. Maybe this is also true there are many poor people and poor countries in the world today.
Also in my country there is the crise economy and there are many people with no jobs space
exploration is very expensive and costs much money I think that some countries they cannot do
the space exploration they need spend their money on their country and help others. It is not good
thing for spending all the money on space. Some people need to eat and homeless people is
problem.",5,5,5,5,5
17,"Money spent on space exploration is a complete waste. Governments could better spend
this money on other things to benefit the nation.
To what extent do you agree or disagree?","There are many problems in the worlds today and some people think space exploration is a
complete waste. Space exploration is too expensive. People think the money could be better spent
on different things. I agree with both sides of this statement. I think there are some advantages to
space travel but also other problems.

Firstly there are many things that we can know with space travel. There is a lot of new things that
we can learn about the universe and this is a good thing. maybe we can find new materials or even
explore new planets. This is good and in the future maybe we will need to know this informations.
However, the problem is space exploration is a very expensive.
There are many other problems in the world. Some people do not have houses and food and
clothes. Some countries are very rich and some countries are very poor.
This is not a good thing. If we save all of the money from space exploration then we will be able to
solve many of these problems and people would have better lives. This might be better for
everybody to live in a more equal world. For example in India money gets spend on space
exploration but there are many poor people with bad conditions for living. I think that this money
can be spent in a way more good for people.
in conclusion I think that some benefits to space travel for people and that we can learn new things
this is a good thing for us. But space is very expensive and people need the money for other
things.",6,6,6,6,6
18,"Money spent on space exploration is a complete waste. Governments could better spend
this money on other things to benefit the nation.
To what extent do you agree or disagree?","Many countries want to explore space to find out more about the universe. The problem is that this
is very expensive and there are other problems that some people think are more important so we
should not spend so much money on space exploration. I agree with this but think that we should
have more countries working together to share space exploration.
There are a number of problems facing the world today. Many people are rich but there are some
people who don’t have accessable to education, healthcare, food water and somewhere where
they can live in. For this reason, to spend so much money on exploring space instead of to solve
problems on earth it is a bad thing and I believe that we should be helping people on earth first.
However, there are definitely advantage to explore space. Many science discoveries help people in
earth. For example we would find new materials and substation that are made to more medicine or
products.
One solution is to share resources with other countries. Lots of countries have there own space
centres and space programs. This is very expensive. If countries shared these resource then
space exploration would not cost as much money and we would do more for help people on our
planet.
in conclusion, I think that there are many problems on earth that we can solve and spending too
much money on space exploration is a bad thing. However, there are some advantages to going to
space and maybe countries can help eachother and share resources to go there.",7,7,7,7,7
19,"Money spent on space exploration is a complete waste. Governments could better spend
this money on other things to benefit the nation.
To what extent do you agree or disagree?","Space exploration offers us the chance to learn a great deal of new things. However, as it costs
lots of money, we need to decide the best way to spend our resources. I would argue that there are
more pressing problems that need addressing but that there may be other ways for us to continue
space exploration.
There are a number of problems which they are still affecting the world today. Despite incredible
advancements in science and technology there are still billions of people who struggle with health,
education, food and water, shelter and security. Many people suggest that we do not have the
resources to resolve these problems and therefore should not waste billions of dollars for exploring
space.
On the other hand, we can learn a lot with the exploration of space. There is the possibility of
discover new materials and energy sources. Some scientists even suggest that we may be able to
live on other planets or make contact with other life forms. Because the universe is so big, it does
not make sense to only look at our planet.
One possibility of continue to explore the universe while improving the quality of life on earth is
through greater cooperation between countries. For example, a global space agency could be
started which it allows for countries to share their resources. This would enable countries to
allocate money more effectively.
In conclusion although it seems a bad idea to spend money to explore space instead of to resolve
global problems, it would not be the best to stop exploring space. One solution would be to better
share our resources in order to help everybody.",8,8,8,8,8
20,"Money spent on space exploration is a complete waste. Governments could better spend
this money on other things to benefit the nation.
To what extent do you agree or disagree?","Space exploration offers us the chance to learn a great deal of new things. However, as it costs an
exorbitant amount, we need to decide the best way to allocate our resources. I would argue that

there are more pressing problems that need addressing but that there may be other ways for us to
continue funding space exploration.
There are a number of problems which are still affecting the world today. Despite incredible
advancements in science and technology there are still billions of people who struggle with health,
education, food and water, shelter and security. Many people suggest that we lack the resources to
resolve these problems and therefore should not waste billions of dollars on exploring space.
On the other hand, there is much to be learnt from the exploration of space. There is the possibility
of discovering new materials and energy sources. Some scientists even suggest that we may be
able to colonize other planets or make contact with other life forms. Given that the universe is so
vast, it does not make sense to only focus on our planet.
One possibility of continuing to explore the universe while improving the quality of life on earth is
through greater cooperation between countries. For example, a global space agency could be
founded which allows for countries to share their resources. This would enable countries to
allocate funds more effectively and would avoid the duplication of research.
In conclusion although it seems immoral to spend money to explore space instead of addressing
global problems, it would be ignorant to turn our back on space. One solution would be to better
share our resources in order to benefit mankind.",9,9,9,9,9
21,"Many countries have compulsory military service for young men after they leave school. It
would be a good idea for all countries to adopt this system for men, and possibly for
women too.
Do you agree or disagree with this statement?","I am agree that all countries have military service for men. In my country there is military service for
all men and i think that this is good thing. It teaches men many new things and new skills that are
important for life. Also for young people it is fun doing the military service. I made many friends in
my country with military service. It is good for countries to have military and military needs people.
If military service is in the country then the army would have people and also young people would
learn new teaches. On the other hand i am not agree with military service for women. Nowadays
there are some women in military and this is not a problem for them. but I think that not all women
want to go in the military and not all women strong for military. Maybe women have other works or
can stay at home. I think that this is choose for women and compulsory military service is not a
good thing. Nowadays there is problems in many countries with behavour of young people. Young
people maybe no repect and maybe crime behavour. I think that military service is very hard and
you need to be respect. I think that this is good for young people and especially men. Men are
more often criminal like behaviour and maybe violence. Military service teaches good behaviour. I
think that military service is good thing for men however other people are not agreeing with this.
They think military service is violent place and the military is not good place for people.",5,5,5,5,5
22,"Many countries have compulsory military service for young men after they leave school. It
would be a good idea for all countries to adopt this system for men, and possibly for
women too.
Do you agree or disagree with this statement?","In my country, like in many countries, young men must go to the army after school or after they
finish other study. It is not necessary for the women to go in my country. I believe that military
service does have benefits and that it can be compulsory.
Firstly military service can teach young people many new skills and give them more confident than
with no military service. Secondly, more crime and bad behaviour is a problem in many countries in
the world. Maybe if everybody did military service then we would not have this problem. Thirdly

there are many skills that can teach in military service like you learn to repair electricity things or
machines. Fourthly working with other people is something that is important in military and this is
useful for life.
On the other hand military service is not a good thing for everybody. Not everyone is physically
person and maybe not interested in these skills. For some people studying or starting work is more
value than military service.
Also some people do not like military and are peaceful people. They think that countries have too
much military and that young people should not be in military. Maybe this makes violence people.
In conclusion I believe that there are advantages to joining military service and it can teach many
things for young people but I don’t think it is necessary for all people and many military should be
the choice of the people if they want to join or not.",6,6,6,6,6
23,"Many countries have compulsory military service for young men after they leave school. It
would be a good idea for all countries to adopt this system for men, and possibly for
women too.
Do you agree or disagree with this statement?","In many countries men have to do military service after school for one or two years. Some people
think that this should be compulsory in all countries for men and maybe also for women. I agree
that there maybe some benefits to military service but think it shouldn’t be compulsory for all
people.
People who are in favour of military service argue that it teaches young people many things. They
will learn discipline and how to be part of society. There are also other skills like teamwork and
leading people that are useful. People suggest many problems with behaviour and motivation
might solved with military service.
With regard to women and military service I would argue that there is no reason why are they not
part of it. Nowadays women are more equal than men and in many countries it is normal for
women to be in the military so I do not think that they can’t do military service.
However, I think that the modern world is too interested in the military. We should encourage young
people to be peaceful people and have respect for other countries and other people. Some people
say that the military is not a good place for learning these skills.
In conclusion, I would argue that there are some advantages to military service and that it teaches
young people important skills for life but I do not think that everyone should be have to join military.
Perhaps young people should be forced to do some community work that would be more peaceful
than in the military.",7,7,7,7,7
24,"Many countries have compulsory military service for young men after they leave school. It
would be a good idea for all countries to adopt this system for men, and possibly for
women too.
Do you agree or disagree with this statement?","Many countries force young people to serve in the military with some people suggesting that this
should be extend to all countries and possibly for both sexes. I would argue that although military
service is helpful for some it may not be a good idea for everybody.
One argument in favour of universal military service is that it will increase the skills of young
people. They will be force to face challenges and see the benefits of discipline and training. People
in favour also argue that it would help stop young people doing crime which is growing problem in
many countries.
On the other hand, critics argue that it leads to more violence for the youth and that not all
countries need to have so many people in the army. Furthermore the cost of maintaining such a
large number of people would be huge. Finally, they say it is unappropriate to make peaceful
people to go to the military.
There are alternatives to military service. Instead young people could take part in community
service programmes after leaving school. This would help to develop young people skills while they
are improving the community where they are living. Some people may also argue that this would
be more suitable for both men and women.
To conclude, while military service does have clear benefits there are also some negative aspects
related to force people to serve in the armed forces. For this reason, I would argue that there are
other ways of developing young people’s skills.",8,8,8,8,8
25,"Many countries have compulsory military service for young men after they leave school. It
would be a good idea for all countries to adopt this system for men, and possibly for
women too.
Do you agree or disagree with this statement?","Many countries oblige young men to serve in the military for a period of time; and some people
suggest that such ‘national service’ should be extended to all countries and possibly for both
genders. I would argue that although military service is beneficial to some it may not be suitable for
everybody- and so should not be obligatory. However, I see no reason why anyone who wishes to
serve should be prevented from doing so, regardless of whether man or woman.
The argument most often advanced in favour of universal military service is that it increases the
skill set of young people, who are forced to face challenges and see the benefits of discipline and
training. Some people even go further in favour, and argue that obligatory military service would
help to tackle the youth disorder which is a growing problem in many Western countries. They also
say that if young people were to serve some time in the military in different parts of the country to
their home town, and with others who are also from different regions, then this camaraderie would
add to a sense of national unity and cohesion, and prove beneficial to society as a whole.
On the other hand, critics argue that these ‘benefits’ are illusory. They say there is no real
advantage in merely wasting time which could be more usefully spent otherwise, that it leads to the
militarization of youth, and that not all countries need a large and expensive military presence
anyway. Finally, they question how appropriate it would be to force otherwise peaceful people into
the military.
There are alternatives to military service, though they are less common internationally. Instead
young people could take part in community service programmes after leaving school. This would
still help to develop various skills in the same manner as military service does, while making the
young people involved feel that they have an investment in their country and in improving the
community in which they live. I would argue that this kind of service would be far more suitable for
both men and women, as well as beneficial to society at large.
To conclude, while military service does have clear benefits there are also some negative aspects
related to how ethical it is to force people to serve in the armed forces. For this reason, I would
argue that there are other ways of developing young people’s skills.",9,9,9,9,9
26,"Both government investment in public transport systems and reductions in public transport
ticket prices will help to reduce transport pollution greatly.
Do you agree or disagree with this statement?","I am very agree with good public transport and also in reduction of prices. recently i was in London
and the public transport is very good in London there are many bus and there is the tube and there
is the train a lot. But in London these transports are very expansive if you lived in London it will be
very expansive everyday on the underground I think. In my country the transports are not as many
as London but is much cheaper than London. Maybe if you live in London you will have good job
and high salary so the transport price are not a problem for you but if you are study with no salary
then this is big problem. Maybe cheaper prices is good for students and young people. In germany
transports price for students is very cheap and this is good because students with less money than
salary job people.
On the other hand pollution a big problem and transports pollution very serious. In many cities
there are many cars and trucks that used to making the pollution. many people drive in cities to
work and visiting and are not taking public transports. Sometimes public transports are not
convenient for all the people and transports are very busy. Government need to make more
transports so that trains and busses are not busy. if there are more trains and busses then there
would be less cars. If there would be less cars then pollution would not very much and this is good
for the health.",5,5,5,5,5
27,"Both government investment in public transport systems and reductions in public transport
ticket prices will help to reduce transport pollution greatly.
Do you agree or disagree with this statement?","Transport pollution is a big problem in many cities in the world today. Some people think that
government investment in public transport and reduction of prices will greatly help the fight against
transport pollution. I totally agree with this statement.
There are many people that drive cars in towns and cities and this is a big problem because of the
gridlocks and also the pollution that the cars emit. This fumes is really bad for the health. The
government needs to invest in public transport so that less people drive cars.

It is important that there is enough transport for large numbers of people and that the transport is
reliabil and doesn’t break. The transport system in Tokyo is very good and lots of people use it.
Public transport prices is also a big problem. The price of the transport needs to be low so that
many people can pay it. If the price is more expensive or the same as the car then many people
would use the car because it is cheap. The government need to reduce prices, especially for
people with not many money to pay it. In Beijing the transport is very cheap for making people not
drive their cars.
In conclusion I agree that public transport is very important I think that transport pollution is a bad
thing but it can be stopped by the government is they have more transport and make the transport
cheap for everybody. The transport should also be clean for the people. But i think there is too
many pollution now so it will not be reduced.",6,6,6,6,6
